Pulled from: https://en.wikipedia.org/wiki/Cuneiform_(Unicode_block),,,,,
Sign,Codepoint,Name,Borger (2003),Borger (1981),Comments
𒀀,U+12000,A,839,579,
𒀁,U+12001,A x A,845,583,EDURU
𒀂,U+12002,A x BAD,840,580,AGAM
𒀃,U+12003,A x GAN2 tenû,,,
𒀄,U+12004,A x ḪA,846,584; 587,ZAḪ3
𒀅,U+12005,A x IGI,844,581,ÍR
𒀆,U+12006,A x LAGAR gunû,843,582,
𒀇,U+12007,A x MUŠ,842,,
𒀈,U+12008,A x SAG,841,585,
𒀉,U+12009,A2,560,334,ID
𒀊,U+1200A,AB,223,128,ABBA
𒀋,U+1200B,AB x AŠ2,227,"128**,200a",
𒀌,U+1200C,AB x DUN3 gunû,,,
𒀍,U+1200D,AB x GAL,228,194,
𒀎,U+1200E,AB x GAN2 tenû,225,198,
𒀏,U+1200F,AB x ḪA,236,200,NINA
𒀐,U+12010,AB x IGI gunû,229,196,
𒀑,U+12011,AB x IMIN,237,,
𒀒,U+12012,AB x LAGAB,234,,
𒀓,U+12013,AB x ŠEŠ,226,200c,
𒀔,U+12014,AB x U + U + U,232,,UNUG
𒀕,U+12015,AB gunû,,,ÚNU
𒀖,U+12016,AB2,672,420,LID
𒀗,U+12017,AB2 x BALAG,676,422,LILIZ
𒀘,U+12018,AB2 x GAN2 tenû,674,423,KIR6
𒀙,U+12019,AB2 x ME + EN,679,426,
𒀚,U+1201A,AB2 x ŠA3,677,424,LIBIŠ
𒀛,U+1201B,AB2 x TAK4,673,"420,8",
𒀜,U+1201C,AD,258,145,ADDA
𒀝,U+1201D,AK,127,97,AG
𒀞,U+1201E,AK x ERIN2,129,98,ME3
𒀟,U+1201F,AK x ŠITA + GIŠ,128,,
𒀠,U+12020,AL,474,298,
𒀡,U+12021,AL x AL,478,,
𒀢,U+12022,AL x DIM2,480,,
𒀣,U+12023,AL x GIŠ,477,301,
𒀤,U+12024,AL x ḪA,482,305,
𒀥,U+12025,AL x KAD3,,,
𒀦,U+12026,AL x KI,481,303,
𒀧,U+12027,AL x ŠE,348479,205,IL
𒀨,U+12028,AL x UŠ,476,300,
𒀩,U+12029,ALAN,573,358,
𒀪,U+1202A,aleph,635,397,late variant of AḪ; HZL nr. 332
𒀫,U+1202B,AMAR,695,437,ZUR
𒀬,U+1202C,AMAR x ŠE,696,438,SISKUR
𒀭,U+1202D,AN,10,13,
𒀮,U+1202E,AN / AN,,,
𒀯,U+1202F,AN three times,,,MUL
